MentionID,TranscriptID,NewsProgram,ChannelType,TimePeriod,CaseID,IssueArea,CaseStage,WordCountRAND,MultiMention,MultiMentionType,MentionContext,AnchorOnly,Correspondent,Debate,NewsInterview
2004075PDFox081905,Fox081905,SpecialReport,CableNews,2000_2018,2004075,FirstAmendment,PostDecision,105,0,NA,1,1,0,0,0
2002083PDFox031706,Fox031706,SpecialReport,CableNews,2000_2018,2002083,SexDiscrimination,PostDecision,106,0,NA,2,1,0,0,0
2003006AABC090803,ABC090803,WorldNewsTonight,NetworkNews,2000_2018,2003006,FirstAmendment,Argument,434,0,NA,1,0,1,0,0
2003006AFox090803,Fox090803,SpecialReport,CableNews,2000_2018,2003006,FirstAmendment,Argument,447,0,NA,1,0,1,0,0
2003006DABC121003,ABC121003,WorldNewsTonight,NetworkNews,2000_2018,2003006,FirstAmendment,Decision,139,0,NA,1,1,0,0,0
2003006DFox121003,Fox121003,SpecialReport,CableNews,2000_2018,2003006,FirstAmendment,Decision,538,0,NA,1,0,1,0,0
2003006PCFox082703,Fox082703,SpecialReport,CableNews,2000_2018,2003006,FirstAmendment,PostCert,38,0,NA,3,0,1,0,0
2006068PDFox062907,Fox062907,SpecialReport,CableNews,2000_2018,2006068,FirstAmendment,PostDecision,107,0,NA,2,0,1,0,0
2014070PDMSNBC102617,MSNBC102617,Hardball,CableNews,2000_2018,2014070,SexDiscrimination,PostDecision,108,0,NA,3,0,0,1,0
1999088PDFox082604,Fox082604,SpecialReport,CableNews,2000_2018,1999088,Abortion,PostDecision,111,0,NA,3,1,0,0,0
2004075PDFox120606,Fox120606,SpecialReport,CableNews,2000_2018,2004075,FirstAmendment,PostDecision,112,1,Identical,2,0,1,0,0
2004078PDFox120606,Fox120606,SpecialReport,CableNews,2000_2018,2004078,FirstAmendment,PostDecision,112,1,Identical,2,0,1,0,0
2002083PDFox120203,Fox120203,SpecialReport,CableNews,2000_2018,2002083,SexDiscrimination,PostDecision,116,1,Separate,3,1,0,0,0
2002083PDFox070203,Fox070203,SpecialReport,CableNews,2000_2018,2002083,SexDiscrimination,PostDecision,117,0,NA,3,0,0,1,0
2003035AABC120203,ABC120203,WorldNewsTonight,NetworkNews,2000_2018,2003035,FirstAmendment,Argument,454,0,NA,1,0,1,0,0
2003035AFox120203,Fox120203,SpecialReport,CableNews,2000_2018,2003035,FirstAmendment,Argument,"1,688",1,Separate,1,0,1,0,1
2003035DABC022504,ABC022504,WorldNewsTonight,NetworkNews,2000_2018,2003035,FirstAmendment,Decision,349,0,NA,1,0,1,0,0
2003035DFox022504,Fox022504,SpecialReport,CableNews,2000_2018,2003035,FirstAmendment,Decision,97,0,NA,1,1,0,0,0
2003090DABC062904,ABC062904,WorldNewsTonight,NetworkNews,2000_2018,2003090,FirstAmendment,Decision,735,0,NA,1,0,1,0,0
2004045PCFox120604,Fox120604,SpecialReport,CableNews,2000_2018,2004045,EconomicActivity,PostCert,385,0,NA,1,0,1,0,0
